Segmento;Item;CEST;NCM/SH;Descrição
BEBIDAS ALCOÓLICAS, EXCETO CERVEJA E CHOPE;999.0;02.999.00;2208;Outras bebidas alcoólicas não especificadas nos itens anteriores
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;1.0;03.001.00;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;2.0;03.002.00;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;3.0;03.003.00;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;4.0;03.004.00;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1.500 ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;5.0;03.005.00;2201.10.00;Água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;6.0;03.006.00;2201.10.00;Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;7.0;03.007.00;2202.10.00;Águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;8.0;03.008.00;2202.90.00;Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;10.0;03.010.00;2202;Refrigerante em garrafa com capacidade igual ou superior a 600 ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;11.0;03.011.00;2202;Demais refrigerantes
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;12.0;03.012.00;2106.90.10;Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina 'pré-mix'ou 'post-mix'
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;13.0;03.013.00;2106.90;Bebidas energéticas em embalagem com capacidade inferior a 600ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;13.0;03.013.00;2202.90.00;Bebidas energéticas em embalagem com capacidade inferior a 600ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;14.0;03.014.00;2106.90;Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;14.0;03.014.00;2202.90.00;Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;15.0;03.015.00;2106.90;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;15.0;03.015.00;2202.90.00;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;16.0;03.016.00;2106.90;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;16.0;03.016.00;2202.90.00;Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;21.0;03.021.00;2203.00.00;Cerveja
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;22.0;03.022.00;2202.90.00;Cerveja sem álcool
CERVEJAS, CHOPES, REFRIGERANTES, ÁGUAS E OUTRAS BEBIDAS;23.0;03.023.00;2203.00.00;Chope
CIGARROS E OUTROS PRODUTOS DERIVADOS DO FUMO;1.0;04.001.00;2402;Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos
CIGARROS E OUTROS PRODUTOS DERIVADOS DO FUMO;2.0;04.002.00;2403.1;Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção
CIMENTOS;1.0;05.001.00;2523;Cimento
COMBUSTÍVEIS E LUBRIFICANTES;1.0;06.001.00;2207.10.10;Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Com um teor de água igual ou inferior a 1 % vol (álcool etílico anidro combustível)
COMBUSTÍVEIS E LUBRIFICANTES;1.1;06.001.01;2207.10.90;Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol - Outros (álcool etílico hidratado combustível)
COMBUSTÍVEIS E LUBRIFICANTES;2.0;06.002.00;2710.12.59;Gasolina automotiva A, exceto Premium
COMBUSTÍVEIS E LUBRIFICANTES;2.1;06.002.01;2710.12.59;Gasolina automotiva C, exceto Premium
COMBUSTÍVEIS E LUBRIFICANTES;2.2;06.002.02;2710.12.59;Gasolina automotiva A Premium
COMBUSTÍVEIS E LUBRIFICANTES;2.3;06.002.03;2710.12.59;Gasolina automotiva C Premium
COMBUSTÍVEIS E LUBRIFICANTES;3.0;06.003.00;2710.12.51;Gasolina de aviação
COMBUSTÍVEIS E LUBRIFICANTES;4.0;06.004.00;2710.19.19;Querosenes, exceto de aviação
COMBUSTÍVEIS E LUBRIFICANTES;5.0;06.005.00;2710.19.11;Querosene de aviação
COMBUSTÍVEIS E LUBRIFICANTES;6.0;06.006.00;2710.19.2;Óleo diesel A, exceto S10 e Marítimo
